Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0125,23.85,23.42,17,✓
10,3.7830,42.36,39.99,168,✓
50,3.6263,59.77,47.33,900,✓
100,3.5651,66.83,48.28,1860,
