Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0937,12.40,11.30,10,✓
10,3.9402,25.44,18.69,83,✓
50,3.8262,36.69,20.95,409,✓
100,3.7923,40.02,21.44,841,
