Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0693,16.75,16.18,8,✓
10,3.9536,25.79,24.20,77,✓
50,3.9039,31.79,28.95,462,
100,3.8860,34.05,30.64,1000,✓
150,3.8741,35.63,31.63,1631,
200,3.8683,36.62,32.47,2295,
