Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0371,21.56,21.66,12,✓
10,3.8353,36.89,35.75,118,✓
50,3.7662,43.88,40.42,656,
100,3.7486,45.84,41.38,1353,✓
150,3.7406,46.54,41.60,2057,
200,3.7281,47.60,42.29,2794,
