Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0975,11.10,10.65,6,✓
10,3.9895,21.05,17.86,54,✓
50,3.8664,33.97,23.16,287,✓
100,3.8100,39.91,24.35,621,
150,3.7806,43.33,25.41,954,
200,3.7635,45.33,25.53,1291,
