Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
141,3.785851985710102,42.74,25.48,894,True
142,3.7853190793516887,42.74,25.35,901,False
143,3.785521559952372,42.6,25.1,908,False
144,3.783760797911586,42.99,25.18,914,False
145,3.782738427430885,43.05,25.18,921,False
146,3.7832316614646277,43.07,25.2,928,False
147,3.783127671447248,43.02,25.16,934,False
148,3.782177805241959,43.13,25.22,941,False
149,3.782413926572431,43.16,25.29,948,False
150,3.780552057930119,43.33,25.41,954,False
151,3.7808323117250895,43.31,25.44,961,False
152,3.7803586161597655,43.4,25.35,968,False
153,3.7803193245144837,43.4,25.52,974,True
154,3.779779343315251,43.38,25.36,981,False
155,3.7793666354859075,43.51,25.25,987,False
156,3.778156090836499,43.6,25.35,994,False
157,3.7784736709700106,43.7,25.34,1001,False
158,3.7771644882075694,43.65,25.38,1007,False
159,3.7758415614702425,43.89,25.49,1014,False
160,3.776144022441042,43.84,25.38,1021,False
161,3.775277160149253,43.92,25.39,1028,False
162,3.7753669069616835,43.9,25.46,1034,False
163,3.7759800510511874,43.89,25.26,1041,False
164,3.7746201839236266,43.88,25.54,1048,True
165,3.7747710330710227,44.01,25.46,1055,False
166,3.773831853550442,43.97,25.39,1061,False
167,3.7738602135062878,44.14,25.34,1068,False
168,3.772951678017885,44.15,25.44,1075,False
169,3.7736124386444936,44.19,25.55,1081,True
170,3.7732367410185588,44.26,25.61,1088,True
171,3.7731312954623397,44.28,25.4,1095,False
172,3.7734822700036825,44.2,25.5,1101,False
173,3.7722609938837546,44.39,25.25,1108,False
174,3.771661255241099,44.42,25.28,1115,False
175,3.772070349909324,44.34,25.43,1122,False
176,3.7709745926093,44.4,25.33,1129,False
177,3.7716542436273057,44.39,25.39,1135,False
178,3.770821649066651,44.56,25.39,1142,False
179,3.7703051395837774,44.54,25.54,1149,False
180,3.770363889346465,44.55,25.48,1156,False
181,3.770212739870693,44.56,25.49,1162,False
182,3.7696379034558714,44.53,25.49,1169,False
183,3.7696850286662906,44.62,25.38,1176,False
184,3.769137551112728,44.66,25.37,1183,False
185,3.76964671572269,44.62,25.49,1190,False
186,3.7691635650824447,44.7,25.51,1196,False
187,3.7680743056766235,44.83,25.49,1203,False
188,3.7669724693614475,44.86,25.66,1210,True
189,3.7673221727761117,44.91,25.5,1217,False
190,3.7670779636551663,44.77,25.63,1223,False
191,3.767043963321665,44.95,25.53,1230,False
192,3.766557515655433,45.04,25.43,1236,False
193,3.7656624712338105,45.09,25.35,1243,False
194,3.7659718213160396,45.05,25.38,1250,False
195,3.765604164060308,45.16,25.45,1257,False
196,3.7653823214999878,45.07,25.53,1264,False
197,3.7649501726772243,45.19,25.48,1270,False
198,3.76496513772406,45.14,25.55,1277,False
199,3.7630666645850925,45.27,25.48,1284,False
200,3.7635343430450607,45.33,25.53,1291,False
