Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.1197,9.62,9.04,5,✓
10,4.0563,13.22,11.71,50,✓
50,4.0269,15.99,13.94,268,
100,4.0199,16.62,14.44,532,
150,4.0174,16.98,14.75,873,
200,4.0140,17.20,14.90,1161,
