Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.0868,12.72,12.1,11,✓
10,3.9729,22.68,20.27,148,✓
50,3.8874,31.98,24.78,759,✓
100,3.8627,34.63,25.58,1444,
