Epoch,Loss,Train Acc (%),Dev Acc (%),Time (sec),Best?
1,4.1009,13.21,12.29,4,✓
10,3.9886,22.35,19.45,46,✓
50,3.9213,29.97,24.55,256,
100,3.8992,32.84,25.89,577,
150,3.8864,34.52,26.85,906,
200,3.8782,35.42,27.11,1244,
